,open,close,high,low,volume,money
2021-05-20,23.41,23.82,23.84,23.27,40578837.0,957478853.76
2021-05-21,23.88,23.49,24.09,23.03,53933574.0,1263058114.62
2021-05-24,23.48,23.48,23.6,23.19,34393563.0,806092207.23
2021-05-25,23.54,24.6,24.73,23.45,97237462.0,2363145902.7
2021-05-26,24.64,25.01,25.12,24.5,91926378.0,2286540248.86
2021-05-27,24.91,24.79,25.16,24.52,50409136.0,1246712048.75
2021-05-28,24.68,24.5,24.71,24.16,49240073.0,1200523315.7
2021-05-31,24.33,24.2,24.53,23.91,51535081.0,1244209045.99
2021-06-01,24.2,23.92,24.25,23.5,62501796.0,1490476624.56
2021-06-02,23.89,23.89,23.92,23.38,49752702.0,1176608126.99
2021-06-03,23.72,23.77,24.14,23.68,40090085.0,958876472.45
2021-06-04,23.99,24.54,24.96,23.8,75673942.0,1851425837.61
2021-06-07,24.48,24.3,24.48,23.93,44791410.0,1081738832.95
2021-06-08,24.15,24.53,24.57,23.95,57007792.0,1384120301.27
2021-06-09,24.43,24.65,24.88,24.18,45383150.0,1116771375.46
2021-06-10,24.66,24.2,25.06,24.15,53021516.0,1294972566.65
2021-06-11,24.31,23.37,24.35,23.12,83466504.0,1965393115.5
2021-06-15,23.35,23.22,23.43,22.8,66062259.0,1524503477.67
2021-06-16,23.22,23.26,23.4,23.01,37820804.0,878470834.12
2021-06-17,23.02,23.1,23.69,23.02,45328209.0,1059121804.33
2021-06-18,23.13,22.65,23.28,22.39,69409930.0,1574437729.58
2021-06-21,22.6,22.16,22.67,22.01,71827274.0,1600119859.95
2021-06-22,22.38,22.97,23.09,22.25,75775141.0,1720058046.82
2021-06-23,22.85,23.14,23.41,22.72,44790778.0,1035835695.88
2021-06-24,23.03,23.08,23.12,22.68,39028349.0,894502108.58
2021-06-25,23.08,23.36,23.6,23.06,55997295.0,1310287389.9
2021-06-28,23.36,22.78,23.39,22.48,62625737.0,1425702202.01
2021-06-29,22.58,22.34,22.79,22.0,104974939.0,2341926371.42
2021-06-30,22.36,22.62,22.93,22.35,40343546.0,913285187.1
2021-07-01,22.81,23.2,23.5,22.52,66483330.0,1530548798.57
2021-07-02,22.72,21.81,22.74,21.76,107067756.0,2360189793.98
2021-07-05,21.69,22.06,22.15,21.09,85934129.0,1859394323.75
2021-07-06,22.08,22.78,23.0,21.85,79195726.0,1784792785.57
2021-07-07,22.68,22.55,23.05,22.5,46894487.0,1063910095.83
2021-07-08,22.78,21.51,22.78,21.2,145705947.0,3140657439.76
2021-07-09,21.3,21.27,21.63,21.02,76236474.0,1625461607.71
2021-07-12,21.5,21.16,21.5,20.89,87790102.0,1859059510.48
2021-07-13,21.15,21.12,21.34,20.54,65761395.0,1382029130.11
2021-07-14,21.0,20.76,21.0,20.41,84795055.0,1755810875.16
2021-07-15,20.72,21.62,21.72,20.63,95600305.0,2040266258.59
2021-07-16,21.41,21.34,21.82,21.3,57300261.0,1230180813.02
2021-07-19,21.36,21.21,21.43,20.78,52213595.0,1098434741.86
2021-07-20,21.1,20.6,21.2,20.47,80403433.0,1665315545.53
2021-07-21,20.58,20.45,20.8,20.2,75307652.0,1535327561.83
2021-07-22,20.45,20.38,20.66,20.24,86864809.0,1773999331.02
2021-07-23,20.38,20.1,20.38,20.0,72740433.0,1461467511.79
2021-07-26,19.96,18.8,19.99,18.43,145130394.0,2770236696.29
2021-07-27,18.87,17.76,18.99,17.6,135755148.0,2461708369.84
2021-07-28,17.85,17.75,18.07,17.68,106299421.0,1898562591.76
2021-07-29,17.91,17.96,18.24,17.78,87237812.0,1566107824.4
2021-07-30,17.92,17.69,18.05,17.24,95015588.0,1679747318.28
2021-08-02,17.64,18.01,18.14,17.18,115992263.0,2056014242.91
2021-08-03,17.99,17.89,18.15,17.66,89694857.0,1609422575.43
2021-08-04,18.04,17.81,18.07,17.6,72962008.0,1300164293.35
2021-08-05,17.7,17.68,18.05,17.58,62157388.0,1104903004.7
2021-08-06,17.55,17.86,17.9,17.45,56745413.0,1005870948.8
2021-08-09,17.91,19.06,19.25,17.84,175279800.0,3313803230.96
2021-08-10,19.09,19.73,19.98,18.9,130198844.0,2535427989.31
2021-08-11,19.99,19.81,20.58,19.7,104830844.0,2104975144.53
2021-08-12,19.79,19.89,20.3,19.63,66645800.0,1330388046.16
2021-08-13,19.78,19.89,19.92,19.5,56288502.0,1110191399.0
2021-08-16,20.09,19.95,20.2,19.57,62705022.0,1247681171.0
2021-08-17,19.85,19.67,20.22,19.61,47602194.0,947385521.39
2021-08-18,19.67,20.62,21.2,19.55,133273216.0,2732213549.09
2021-08-19,20.48,20.34,20.62,20.02,64997561.0,1315320351.84
2021-08-20,19.97,19.42,20.07,18.7,161462793.0,3119152554.93
2021-08-23,19.5,19.3,20.05,19.11,119184935.0,2315871646.13
2021-08-24,19.35,19.36,19.97,19.21,86895330.0,1690760837.07
2021-08-25,19.42,19.16,19.47,18.95,69808397.0,1341330418.51
2021-08-26,19.2,18.46,19.26,18.41,95161900.0,1783725035.26
2021-08-27,18.56,18.39,18.88,18.31,72882023.0,1354408976.91
2021-08-30,18.21,17.72,18.29,17.55,125221101.0,2221855858.7
2021-08-31,17.72,17.8,17.93,17.31,117486786.0,2072006842.05
2021-09-01,17.48,17.88,17.92,17.01,231689409.0,4046284162.52
2021-09-02,18.0,18.4,18.78,17.8,242260354.0,4454545280.06
2021-09-03,18.5,18.04,18.5,17.7,139481871.0,2523273155.42
2021-09-06,17.93,18.45,18.6,17.78,151522556.0,2780281080.51
2021-09-07,18.6,19.24,19.56,18.35,162234416.0,3067365668.72
2021-09-08,19.24,19.23,19.55,19.1,102620105.0,1979771479.65
2021-09-09,19.11,19.0,19.15,18.8,73950585.0,1399536020.5
2021-09-10,18.89,20.57,20.77,18.84,231494528.0,4668361827.72
2021-09-13,20.36,20.21,20.51,19.81,129722802.0,2606152378.88
2021-09-14,20.18,19.37,20.27,19.27,115817315.0,2272080156.85
2021-09-15,19.31,19.52,20.99,19.19,84161841.0,1639298361.44
2021-09-16,19.3,19.08,19.5,18.73,117695356.0,2234474948.16
2021-09-17,18.9,18.53,19.0,18.41,112487963.0,2098715196.6
2021-09-22,17.87,17.98,18.05,17.42,147336521.0,2616707242.58
2021-09-23,18.1,17.68,18.32,17.65,137983759.0,2465683704.68
2021-09-24,17.6,17.35,17.68,17.34,126569628.0,2209461934.41
2021-09-27,17.21,17.57,17.68,17.06,114066759.0,1979196739.27
2021-09-28,17.47,17.97,18.17,17.45,129316747.0,2311265535.64
2021-09-29,17.86,18.15,18.44,17.71,123012175.0,2225416488.14
2021-09-30,18.09,17.93,18.2,17.71,79561105.0,1424675916.86
2021-10-08,18.17,18.64,18.89,18.02,115920062.0,2146983881.54
2021-10-11,19.0,19.4,19.74,19.0,145533835.0,2829310843.75
2021-10-12,19.3,19.35,19.71,19.2,103123218.0,2004823967.61
2021-10-13,19.3,19.58,19.91,19.17,80789668.0,1577612469.53
2021-10-14,19.59,19.21,19.92,18.89,84298987.0,1623970431.0
2021-10-15,19.0,19.66,19.9,19.0,99349378.0,1948647236.0
2021-10-18,19.45,19.29,19.55,19.1,72962250.0,1408737777.0
2021-10-19,19.15,19.57,19.68,19.15,68241515.0,1330501301.0
2021-10-20,19.75,19.24,19.78,19.19,66295555.0,1283356219.0
