Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2020-05-28,12.97,253635350000,253633180000,-0.089199,34.065,0.108501,617315.494031,-24770000896,-72646000000,-93000000
2020-05-29,12.9,252276930000,252274780000,-0.094297,33.409286,0.108528,599668.124103,-24770000896,-72646000000,-93000000
2020-06-01,13.22,258486840000,258484620000,-0.072243,33.975,0.1096,609404.781576,-24770000896,-72646000000,-93000000
2020-06-02,13.44,262950200000,262947950000,-0.056582,34.789286,0.110221,618450.723679,-24770000896,-72646000000,-93000000
2020-06-03,13.43,262756130000,262753880000,-0.057684,34.59,0.110131,631325.188593,-24770000896,-72646000000,-93000000
2020-06-04,13.46,263338310000,263336060000,-0.055995,34.114286,0.110001,620322.804254,-24770000896,-72646000000,-93000000
2020-06-05,13.48,263726440000,263724170000,-0.054976,33.887857,0.109859,597865.929866,-24770000896,-72646000000,-93000000
2020-06-08,13.51,264308620000,264306350000,-0.053295,34.097143,0.109587,589520.231358,-24770000896,-72646000000,-93000000
2020-06-09,13.56,265278910000,265276640000,-0.050278,32.854286,0.10935,574943.32533,-24770000896,-72646000000,-93000000
2020-06-10,13.38,261785840000,261783590000,-0.06326,33.747143,0.109636,567958.486417,-24770000896,-72646000000,-93000000
2020-06-11,12.98,253829420000,253827250000,-0.092218,33.904286,0.110403,608630.968906,-24770000896,-72646000000,-93000000
2020-06-12,12.89,252082890000,252080740000,-0.098854,33.85,0.110457,626756.156396,-24770000896,-72646000000,-93000000
2020-06-15,12.72,248783860000,248781740000,-0.11098,34.386429,0.108218,620830.144813,-24770000896,-72646000000,-93000000
2020-06-16,12.79,250142290000,250140160000,-0.106427,33.902143,0.108311,618884.948902,-24770000896,-72646000000,-93000000
2020-06-17,12.75,249366040000,249363920000,-0.109419,31.831429,0.107049,616986.286022,-24770000896,-72646000000,-93000000
